
PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
12	2		running 	  7	18	0	5	11	22	0	0
13	2		runnable	  3	20	0	6	12	20	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	71	0	0	0
2	0		sleeping	  0	0	0	71	0	0	0	0
3	3		runnable	  7	17	0	1	7	14	17	0
4	0		sleeping	  0	3	0	39	0	0	0	0
5	0		sleeping	  0	3	0	39	0	0	0	0
6	0		sleeping	  0	3	0	39	0	0	0	0
7	0		sleeping	  0	3	0	39	0	0	0	0
8	0		sleeping	  0	3	0	39	0	0	0	0
9	3		runnable	  7	13	0	2	8	16	13	0
10	3		runnable	  7	9	0	3	9	18	9	0
11	3		runnable	  7	5	0	4	10	20	5	0
12	3		runnable	  7	1	0	5	11	22	1	0
13	2		running 	  4	20	0	6	12	21	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	72	0	0	0
2	0		sleeping	  0	0	0	72	0	0	0	0
3	3		runnable	  7	18	0	1	7	14	18	0
4	0		runnable	  0	1	0	40	0	0	0	0
5	0		runnable	  0	1	0	40	0	0	0	0
6	0		runnable	  0	1	0	40	0	0	0	0
7	0		runnable	  0	1	0	40	0	0	0	0
8	0		runnable	  0	1	0	40	0	0	0	0
9	3		runnable	  7	14	0	2	8	16	14	0
10	3		runnable	  7	10	0	3	9	18	10	0
11	3		runnable	  7	6	0	4	10	20	6	0
12	3		runnable	  7	2	0	5	11	22	2	0
13	2		running 	  5	20	0	6	12	22	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	73	0	0	0
2	0		sleeping	  0	0	0	73	0	0	0	0
3	3		runnable	  7	19	0	1	7	14	19	0
4	0		runnable	  0	2	0	41	0	0	0	0
5	0		runnable	  0	2	0	41	0	0	0	0
6	0		runnable	  0	2	0	41	0	0	0	0
7	0		runnable	  0	2	0	41	0	0	0	0
8	0		runnable	  0	2	0	41	0	0	0	0
9	3		runnable	  7	15	0	2	8	16	15	0
10	3		runnable	  7	11	0	3	9	18	11	0
11	3		runnable	  7	7	0	4	10	20	7	0
12	3		runnable	  7	3	0	5	11	22	3	0
13	2		running 	  6	20	0	6	12	23	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	74	0	0	0
2	0		sleeping	  0	0	0	74	0	0	0	0
3	3		runnable	  7	20	0	1	7	14	20	0
4	0		runnable	  0	3	0	42	0	0	0	0
5	0		runnable	  0	3	0	42	0	0	0	0
6	0		runnable	  0	3	0	42	0	0	0	0
7	0		runnable	  0	3	0	42	0	0	0	0
8	0		runnable	  0	3	0	42	0	0	0	0
9	3		runnable	  7	16	0	2	8	16	16	0
10	3		runnable	  7	12	0	3	9	18	12	0
11	3		runnable	  7	8	0	4	10	20	8	0
12	3		runnable	  7	4	0	5	11	22	4	0
13	2		running 	  7	20	0	6	12	24	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	75	0	0	0
2	0		sleeping	  0	0	0	75	0	0	0	0
3	3		running 	  8	20	0	1	7	14	21	0
4	0		sleeping	  0	3	0	43	0	0	0	0
5	0		sleeping	  0	3	0	43	0	0	0	0
6	0		sleeping	  0	3	0	43	0	0	0	0
7	0		sleeping	  0	3	0	43	0	0	0	0
8	0		sleeping	  0	3	0	43	0	0	0	0
9	3		runnable	  7	17	0	2	8	16	17	0
10	3		runnable	  7	13	0	3	9	18	13	0
11	3		runnable	  7	9	0	4	10	20	9	0
12	3		runnable	  7	5	0	5	11	22	5	0
13	3		runnable	  7	1	0	6	12	24	1	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	76	0	0	0
2	0		sleeping	  0	0	0	76	0	0	0	0
3	3		running 	  9	20	0	1	7	14	22	0
4	0		runnable	  0	1	0	44	0	0	0	0
5	0		runnable	  0	1	0	44	0	0	0	0
6	0		runnable	  0	1	0	44	0	0	0	0
7	0		runnable	  0	1	0	44	0	0	0	0
8	0		runnable	  0	1	0	44	0	0	0	0
9	3		runnable	  7	18	0	2	8	16	18	0
10	3		runnable	  7	14	0	3	9	18	14	0
11	3		runnable	  7	10	0	4	10	20	10	0
12	3		runnable	  7	6	0	5	11	22	6	0
13	3		runnable	  7	2	0	6	12	24	2	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	77	0	0	0
2	0		sleeping	  0	0	0	77	0	0	0	0
3	3		running 	  10	20	0	1	7	14	23	0
4	0		runnable	  0	2	0	45	0	0	0	0
5	0		runnable	  0	2	0	45	0	0	0	0
6	0		runnable	  0	2	0	45	0	0	0	0
7	0		runnable	  0	2	0	45	0	0	0	0
8	0		runnable	  0	2	0	45	0	0	0	0
9	3		runnable	  7	19	0	2	8	16	19	0
10	3		runnable	  7	15	0	3	9	18	15	0
11	3		runnable	  7	11	0	4	10	20	11	0
12	3		runnable	  7	7	0	5	11	22	7	0
13	3		runnable	  7	3	0	6	12	24	3	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	78	0	0	0
2	0		sleeping	  0	0	0	78	0	0	0	0
3	3		running 	  11	20	0	1	7	14	24	0
4	0		runnable	  0	3	0	46	0	0	0	0
5	0		runnable	  0	3	0	46	0	0	0	0
6	0		runnable	  0	3	0	46	0	0	0	0
7	0		runnable	  0	3	0	46	0	0	0	0
8	0		runnable	  0	3	0	46	0	0	0	0
9	3		runnable	  7	20	0	2	8	16	20	0
10	3		runnable	  7	16	0	3	9	18	16	0
11	3		runnable	  7	12	0	4	10	20	12	0
12	3		runnable	  7	8	0	5	11	22	8	0
13	3		runnable	  7	4	0	6	12	24	4	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	79	0	0	0
2	0		sleeping	  0	0	0	79	0	0	0	0
3	3		running 	  12	20	0	1	7	14	25	0
4	0		runnable	  0	4	0	47	0	0	0	0
5	0		runnable	  0	4	0	47	0	0	0	0
6	0		runnable	  0	4	0	47	0	0	0	0
7	0		runnable	  0	4	0	47	0	0	0	0
8	0		runnable	  0	4	0	47	0	0	0	0
9	3		runnable	  7	21	0	2	8	16	21	0
10	3		runnable	  7	17	0	3	9	18	17	0
11	3		runnable	  7	13	0	4	10	20	13	0
12	3		runnable	  7	9	0	5	11	22	9	0
13	3		runnable	  7	5	0	6	12	24	5	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	80	0	0	0
2	0		sleeping	  0	0	0	80	0	0	0	0
3	3		running 	  13	20	0	1	7	14	26	0
4	0		runnable	  0	5	0	48	0	0	0	0
5	0		runnable	  0	5	0	48	0	0	0	0
6	0		runnable	  0	5	0	48	0	0	0	0
7	0		runnable	  0	5	0	48	0	0	0	0
8	0		runnable	  0	5	0	48	0	0	0	0
9	3		runnable	  7	22	0	2	8	16	22	0
10	3		runnable	  7	18	0	3	9	18	18	0
11	3		runnable	  7	14	0	4	10	20	14	0
12	3		runnable	  7	10	0	5	11	22	10	0
13	3		runnable	  7	6	0	6	12	24	6	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	81	0	0	0
2	0		sleeping	  0	0	0	81	0	0	0	0
3	3		running 	  14	20	0	1	7	14	27	0
4	0		runnable	  0	6	0	49	0	0	0	0
5	0		runnable	  0	6	0	49	0	0	0	0
6	0		runnable	  0	6	0	49	0	0	0	0
7	0		runnable	  0	6	0	49	0	0	0	0
8	0		runnable	  0	6	0	49	0	0	0	0
9	3		runnable	  7	23	0	2	8	16	23	0
10	3		runnable	  7	19	0	3	9	18	19	0
11	3		runnable	  7	15	0	4	10	20	15	0
12	3		runnable	  7	11	0	5	11	22	11	0
13	3		runnable	  7	7	0	6	12	24	7	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	82	0	0	0
2	0		sleeping	  0	0	0	82	0	0	0	0
3	3		running 	  15	20	0	1	7	14	28	0
4	0		runnable	  0	7	0	50	0	0	0	0
5	0		runnable	  0	7	0	50	0	0	0	0
6	0		runnable	  0	7	0	50	0	0	0	0
7	0		runnable	  0	7	0	50	0	0	0	0
8	0		runnable	  0	7	0	50	0	0	0	0
9	3		runnable	  7	24	0	2	8	16	24	0
10	3		runnable	  7	20	0	3	9	18	20	0
11	3		runnable	  7	16	0	4	10	20	16	0
12	3		runnable	  7	12	0	5	11	22	12	0
13	3		runnable	  7	8	0	6	12	24	8	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	83	0	0	0
2	0		sleeping	  0	0	0	83	0	0	0	0
3	4		runnable	  15	1	0	1	7	14	28	1
4	0		sleeping	  0	7	0	51	0	0	0	0
5	0		sleeping	  0	7	0	51	0	0	0	0
6	0		sleeping	  0	7	0	51	0	0	0	0
7	0		sleeping	  0	7	0	51	0	0	0	0
8	0		sleeping	  0	7	0	51	0	0	0	0
9	3		running 	  8	24	0	2	8	16	25	0
10	3		runnable	  7	21	0	3	9	18	21	0
11	3		runnable	  7	17	0	4	10	20	17	0
12	3		runnable	  7	13	0	5	11	22	13	0
13	3		runnable	  7	9	0	6	12	24	9	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	84	0	0	0
2	0		sleeping	  0	0	0	84	0	0	0	0
3	4		runnable	  15	2	0	1	7	14	28	2
4	0		runnable	  0	1	0	52	0	0	0	0
5	0		runnable	  0	1	0	52	0	0	0	0
6	0		runnable	  0	1	0	52	0	0	0	0
7	0		runnable	  0	1	0	52	0	0	0	0
8	0		runnable	  0	1	0	52	0	0	0	0
9	3		running 	  9	24	0	2	8	16	26	0
10	3		runnable	  7	22	0	3	9	18	22	0
11	3		runnable	  7	18	0	4	10	20	18	0
12	3		runnable	  7	14	0	5	11	22	14	0
13	3		runnable	  7	10	0	6	12	24	10	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	85	0	0	0
2	0		sleeping	  0	0	0	85	0	0	0	0
3	4		runnable	  15	3	0	1	7	14	28	3
4	0		runnable	  0	2	0	53	0	0	0	0
5	0		runnable	  0	2	0	53	0	0	0	0
6	0		runnable	  0	2	0	53	0	0	0	0
7	0		runnable	  0	2	0	53	0	0	0	0
8	0		runnable	  0	2	0	53	0	0	0	0
9	3		running 	  10	24	0	2	8	16	27	0
10	3		runnable	  7	23	0	3	9	18	23	0
11	3		runnable	  7	19	0	4	10	20	19	0
12	3		runnable	  7	15	0	5	11	22	15	0
13	3		runnable	  7	11	0	6	12	24	11	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	86	0	0	0
2	0		sleeping	  0	0	0	86	0	0	0	0
3	4		runnable	  15	4	0	1	7	14	28	4
4	0		runnable	  0	3	0	54	0	0	0	0
5	0		runnable	  0	3	0	54	0	0	0	0
6	0		runnable	  0	3	0	54	0	0	0	0
7	0		runnable	  0	3	0	54	0	0	0	0
8	0		runnable	  0	3	0	54	0	0	0	0
9	3		running 	  11	24	0	2	8	16	28	0
10	3		runnable	  7	24	0	3	9	18	24	0
11	3		runnable	  7	20	0	4	10	20	20	0
12	3		runnable	  7	16	0	5	11	22	16	0
13	3		runnable	  7	12	0	6	12	24	12	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	87	0	0	0
2	0		sleeping	  0	0	0	87	0	0	0	0
3	4		runnable	  15	5	0	1	7	14	28	5
4	0		runnable	  0	4	0	55	0	0	0	0
5	0		runnable	  0	4	0	55	0	0	0	0
6	0		runnable	  0	4	0	55	0	0	0	0
7	0		runnable	  0	4	0	55	0	0	0	0
8	0		runnable	  0	4	0	55	0	0	0	0
9	3		running 	  12	24	0	2	8	16	29	0
10	3		runnable	  7	25	0	3	9	18	25	0
11	3		runnable	  7	21	0	4	10	20	21	0
12	3		runnable	  7	17	0	5	11	22	17	0
13	3		runnable	  7	13	0	6	12	24	13	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	88	0	0	0
2	0		sleeping	  0	0	0	88	0	0	0	0
3	4		runnable	  15	6	0	1	7	14	28	6
4	0		runnable	  0	5	0	56	0	0	0	0
5	0		runnable	  0	5	0	56	0	0	0	0
6	0		runnable	  0	5	0	56	0	0	0	0
7	0		runnable	  0	5	0	56	0	0	0	0
8	0		runnable	  0	5	0	56	0	0	0	0
9	3		running 	  13	24	0	2	8	16	30	0
10	3		runnable	  7	26	0	3	9	18	26	0
11	3		runnable	  7	22	0	4	10	20	22	0
12	3		runnable	  7	18	0	5	11	22	18	0
13	3		runnable	  7	14	0	6	12	24	14	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	89	0	0	0
2	0		sleeping	  0	0	0	89	0	0	0	0
3	4		runnable	  15	7	0	1	7	14	28	7
4	0		runnable	  0	6	0	57	0	0	0	0
5	0		runnable	  0	6	0	57	0	0	0	0
6	0		runnable	  0	6	0	57	0	0	0	0
7	0		runnable	  0	6	0	57	0	0	0	0
8	0		runnable	  0	6	0	57	0	0	0	0
9	3		running 	  14	24	0	2	8	16	31	0
10	3		runnable	  7	27	0	3	9	18	27	0
11	3		runnable	  7	23	0	4	10	20	23	0
12	3		runnable	  7	19	0	5	11	22	19	0
13	3		runnable	  7	15	0	6	12	24	15	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	90	0	0	0
2	0		sleeping	  0	0	0	90	0	0	0	0
3	4		runnable	  15	8	0	1	7	14	28	8
4	0		runnable	  0	7	0	58	0	0	0	0
5	0		runnable	  0	7	0	58	0	0	0	0
6	0		runnable	  0	7	0	58	0	0	0	0
7	0		runnable	  0	7	0	58	0	0	0	0
8	0		runnable	  0	7	0	58	0	0	0	0
9	3		running 	  15	24	0	2	8	16	32	0
10	3		runnable	  7	28	0	3	9	18	28	0
11	3		runnable	  7	24	0	4	10	20	24	0
12	3		runnable	  7	20	0	5	11	22	20	0
13	3		runnable	  7	16	0	6	12	24	16	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	91	0	0	0
2	0		sleeping	  0	0	0	91	0	0	0	0
3	4		runnable	  15	9	0	1	7	14	28	9
4	0		sleeping	  0	7	0	59	0	0	0	0
5	0		sleeping	  0	7	0	59	0	0	0	0
6	0		sleeping	  0	7	0	59	0	0	0	0
7	0		sleeping	  0	7	0	59	0	0	0	0
8	0		sleeping	  0	7	0	59	0	0	0	0
9	4		runnable	  15	1	0	2	8	16	32	1
10	3		running 	  8	28	0	3	9	18	29	0
11	3		runnable	  7	25	0	4	10	20	25	0
12	3		runnable	  7	21	0	5	11	22	21	0
13	3		runnable	  7	17	0	6	12	24	17	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	92	0	0	0
2	0		sleeping	  0	0	0	92	0	0	0	0
3	4		runnable	  15	10	0	1	7	14	28	10
4	0		runnable	  0	1	0	60	0	0	0	0
5	0		runnable	  0	1	0	60	0	0	0	0
6	0		runnable	  0	1	0	60	0	0	0	0
7	0		runnable	  0	1	0	60	0	0	0	0
8	0		runnable	  0	1	0	60	0	0	0	0
9	4		runnable	  15	2	0	2	8	16	32	2
10	3		running 	  9	28	0	3	9	18	30	0
11	3		runnable	  7	26	0	4	10	20	26	0
12	3		runnable	  7	22	0	5	11	22	22	0
13	3		runnable	  7	18	0	6	12	24	18	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	93	0	0	0
2	0		sleeping	  0	0	0	93	0	0	0	0
3	4		runnable	  15	11	0	1	7	14	28	11
4	0		runnable	  0	2	0	61	0	0	0	0
5	0		runnable	  0	2	0	61	0	0	0	0
6	0		runnable	  0	2	0	61	0	0	0	0
7	0		runnable	  0	2	0	61	0	0	0	0
8	0		runnable	  0	2	0	61	0	0	0	0
9	4		runnable	  15	3	0	2	8	16	32	3
10	3		running 	  10	28	0	3	9	18	31	0
11	3		runnable	  7	27	0	4	10	20	27	0
12	3		runnable	  7	23	0	5	11	22	23	0
13	3		runnable	  7	19	0	6	12	24	19	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	94	0	0	0
2	0		sleeping	  0	0	0	94	0	0	0	0
3	4		runnable	  15	12	0	1	7	14	28	12
4	0		runnable	  0	3	0	62	0	0	0	0
5	0		runnable	  0	3	0	62	0	0	0	0
6	0		runnable	  0	3	0	62	0	0	0	0
7	0		runnable	  0	3	0	62	0	0	0	0
8	0		runnable	  0	3	0	62	0	0	0	0
9	4		runnable	  15	4	0	2	8	16	32	4
10	3		running 	  11	28	0	3	9	18	32	0
11	3		runnable	  7	28	0	4	10	20	28	0
12	3		runnable	  7	24	0	5	11	22	24	0
13	3		runnable	  7	20	0	6	12	24	20	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	95	0	0	0
2	0		sleeping	  0	0	0	95	0	0	0	0
3	4		runnable	  15	13	0	1	7	14	28	13
4	0		runnable	  0	4	0	63	0	0	0	0
5	0		runnable	  0	4	0	63	0	0	0	0
6	0		runnable	  0	4	0	63	0	0	0	0
7	0		runnable	  0	4	0	63	0	0	0	0
8	0		runnable	  0	4	0	63	0	0	0	0
9	4		runnable	  15	5	0	2	8	16	32	5
10	3		running 	  12	28	0	3	9	18	33	0
11	3		runnable	  7	29	0	4	10	20	29	0
12	3		runnable	  7	25	0	5	11	22	25	0
13	3		runnable	  7	21	0	6	12	24	21	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	96	0	0	0
2	0		sleeping	  0	0	0	96	0	0	0	0
3	4		runnable	  15	14	0	1	7	14	28	14
4	0		runnable	  0	5	0	64	0	0	0	0
5	0		runnable	  0	5	0	64	0	0	0	0
6	0		runnable	  0	5	0	64	0	0	0	0
7	0		runnable	  0	5	0	64	0	0	0	0
8	0		runnable	  0	5	0	64	0	0	0	0
9	4		runnable	  15	6	0	2	8	16	32	6
10	3		running 	  13	28	0	3	9	18	34	0
11	3		runnable	  7	30	0	4	10	20	30	0
12	3		runnable	  7	26	0	5	11	22	26	0
13	3		runnable	  7	22	0	6	12	24	22	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	97	0	0	0
2	0		sleeping	  0	0	0	97	0	0	0	0
3	4		runnable	  15	15	0	1	7	14	28	15
4	0		runnable	  0	6	0	65	0	0	0	0
5	0		runnable	  0	6	0	65	0	0	0	0
6	0		runnable	  0	6	0	65	0	0	0	0
7	0		runnable	  0	6	0	65	0	0	0	0
8	0		runnable	  0	6	0	65	0	0	0	0
9	4		runnable	  15	7	0	2	8	16	32	7
10	3		running 	  14	28	0	3	9	18	35	0
11	3		runnable	  7	31	0	4	10	20	31	0
12	3		runnable	  7	27	0	5	11	22	27	0
13	3		runnable	  7	23	0	6	12	24	23	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	98	0	0	0
2	0		sleeping	  0	0	0	98	0	0	0	0
3	4		runnable	  15	16	0	1	7	14	28	16
4	0		runnable	  0	7	0	66	0	0	0	0
5	0		runnable	  0	7	0	66	0	0	0	0
6	0		runnable	  0	7	0	66	0	0	0	0
7	0		runnable	  0	7	0	66	0	0	0	0
8	0		runnable	  0	7	0	66	0	0	0	0
9	4		runnable	  15	8	0	2	8	16	32	8
10	3		running 	  15	28	0	3	9	18	36	0
11	3		runnable	  7	32	0	4	10	20	32	0
12	3		runnable	  7	28	0	5	11	22	28	0
13	3		runnable	  7	24	0	6	12	24	24	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	99	0	0	0
2	0		sleeping	  0	0	0	99	0	0	0	0
3	4		runnable	  15	17	0	1	7	14	28	17
4	0		sleeping	  0	7	0	67	0	0	0	0
5	0		sleeping	  0	7	0	67	0	0	0	0
6	0		sleeping	  0	7	0	67	0	0	0	0
7	0		sleeping	  0	7	0	67	0	0	0	0
8	0		sleeping	  0	7	0	67	0	0	0	0
9	4		runnable	  15	9	0	2	8	16	32	9
10	4		runnable	  15	1	0	3	9	18	36	1
11	3		running 	  8	32	0	4	10	20	33	0
12	3		runnable	  7	29	0	5	11	22	29	0
13	3		runnable	  7	25	0	6	12	24	25	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	100	0	0	0
2	0		sleeping	  0	0	0	100	0	0	0	0
3	4		runnable	  15	18	0	1	7	14	28	18
4	0		runnable	  0	1	0	68	0	0	0	0
5	0		runnable	  0	1	0	68	0	0	0	0
6	0		runnable	  0	1	0	68	0	0	0	0
7	0		runnable	  0	1	0	68	0	0	0	0
8	0		runnable	  0	1	0	68	0	0	0	0
9	4		runnable	  15	10	0	2	8	16	32	10
10	4		runnable	  15	2	0	3	9	18	36	2
11	3		running 	  9	32	0	4	10	20	34	0
12	3		runnable	  7	30	0	5	11	22	30	0
13	3		runnable	  7	26	0	6	12	24	26	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	101	0	0	0
2	0		sleeping	  0	0	0	101	0	0	0	0
3	4		runnable	  15	19	0	1	7	14	28	19
4	0		runnable	  0	2	0	69	0	0	0	0
5	0		runnable	  0	2	0	69	0	0	0	0
6	0		runnable	  0	2	0	69	0	0	0	0
7	0		runnable	  0	2	0	69	0	0	0	0
8	0		runnable	  0	2	0	69	0	0	0	0
9	4		runnable	  15	11	0	2	8	16	32	11
10	4		runnable	  15	3	0	3	9	18	36	3
11	3		running 	  10	32	0	4	10	20	35	0
12	3		runnable	  7	31	0	5	11	22	31	0
13	3		runnable	  7	27	0	6	12	24	27	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	102	0	0	0
2	0		sleeping	  0	0	0	102	0	0	0	0
3	4		runnable	  15	20	0	1	7	14	28	20
4	0		runnable	  0	3	0	70	0	0	0	0
5	0		runnable	  0	3	0	70	0	0	0	0
6	0		runnable	  0	3	0	70	0	0	0	0
7	0		runnable	  0	3	0	70	0	0	0	0
8	0		runnable	  0	3	0	70	0	0	0	0
9	4		runnable	  15	12	0	2	8	16	32	12
10	4		runnable	  15	4	0	3	9	18	36	4
11	3		running 	  11	32	0	4	10	20	36	0
12	3		runnable	  7	32	0	5	11	22	32	0
13	3		runnable	  7	28	0	6	12	24	28	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	103	0	0	0
2	0		sleeping	  0	0	0	103	0	0	0	0
3	4		runnable	  15	21	0	1	7	14	28	21
4	0		runnable	  0	4	0	71	0	0	0	0
5	0		runnable	  0	4	0	71	0	0	0	0
6	0		runnable	  0	4	0	71	0	0	0	0
7	0		runnable	  0	4	0	71	0	0	0	0
8	0		runnable	  0	4	0	71	0	0	0	0
9	4		runnable	  15	13	0	2	8	16	32	13
10	4		runnable	  15	5	0	3	9	18	36	5
11	3		running 	  12	32	0	4	10	20	37	0
12	3		runnable	  7	33	0	5	11	22	33	0
13	3		runnable	  7	29	0	6	12	24	29	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	104	0	0	0
2	0		sleeping	  0	0	0	104	0	0	0	0
3	4		runnable	  15	22	0	1	7	14	28	22
4	0		runnable	  0	5	0	72	0	0	0	0
5	0		runnable	  0	5	0	72	0	0	0	0
6	0		runnable	  0	5	0	72	0	0	0	0
7	0		runnable	  0	5	0	72	0	0	0	0
8	0		runnable	  0	5	0	72	0	0	0	0
9	4		runnable	  15	14	0	2	8	16	32	14
10	4		runnable	  15	6	0	3	9	18	36	6
11	3		running 	  13	32	0	4	10	20	38	0
12	3		runnable	  7	34	0	5	11	22	34	0
13	3		runnable	  7	30	0	6	12	24	30	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	105	0	0	0
2	0		sleeping	  0	0	0	105	0	0	0	0
3	4		runnable	  15	23	0	1	7	14	28	23
4	0		runnable	  0	6	0	73	0	0	0	0
5	0		runnable	  0	6	0	73	0	0	0	0
6	0		runnable	  0	6	0	73	0	0	0	0
7	0		runnable	  0	6	0	73	0	0	0	0
8	0		runnable	  0	6	0	73	0	0	0	0
9	4		runnable	  15	15	0	2	8	16	32	15
10	4		runnable	  15	7	0	3	9	18	36	7
11	3		running 	  14	32	0	4	10	20	39	0
12	3		runnable	  7	35	0	5	11	22	35	0
13	3		runnable	  7	31	0	6	12	24	31	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	106	0	0	0
2	0		sleeping	  0	0	0	106	0	0	0	0
3	4		runnable	  15	24	0	1	7	14	28	24
4	0		runnable	  0	7	0	74	0	0	0	0
5	0		runnable	  0	7	0	74	0	0	0	0
6	0		runnable	  0	7	0	74	0	0	0	0
7	0		runnable	  0	7	0	74	0	0	0	0
8	0		runnable	  0	7	0	74	0	0	0	0
9	4		runnable	  15	16	0	2	8	16	32	16
10	4		runnable	  15	8	0	3	9	18	36	8
11	3		running 	  15	32	0	4	10	20	40	0
12	3		runnable	  7	36	0	5	11	22	36	0
13	3		runnable	  7	32	0	6	12	24	32	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	107	0	0	0
2	0		sleeping	  0	0	0	107	0	0	0	0
3	4		runnable	  15	25	0	1	7	14	28	25
4	0		sleeping	  0	7	0	75	0	0	0	0
5	0		sleeping	  0	7	0	75	0	0	0	0
6	0		sleeping	  0	7	0	75	0	0	0	0
7	0		sleeping	  0	7	0	75	0	0	0	0
8	0		sleeping	  0	7	0	75	0	0	0	0
9	4		runnable	  15	17	0	2	8	16	32	17
10	4		runnable	  15	9	0	3	9	18	36	9
11	4		runnable	  15	1	0	4	10	20	40	1
12	3		running 	  8	36	0	5	11	22	37	0
13	3		runnable	  7	33	0	6	12	24	33	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	108	0	0	0
2	0		sleeping	  0	0	0	108	0	0	0	0
3	4		runnable	  15	26	0	1	7	14	28	26
4	0		runnable	  0	1	0	76	0	0	0	0
5	0		runnable	  0	1	0	76	0	0	0	0
6	0		runnable	  0	1	0	76	0	0	0	0
7	0		runnable	  0	1	0	76	0	0	0	0
8	0		runnable	  0	1	0	76	0	0	0	0
9	4		runnable	  15	18	0	2	8	16	32	18
10	4		runnable	  15	10	0	3	9	18	36	10
11	4		runnable	  15	2	0	4	10	20	40	2
12	3		running 	  9	36	0	5	11	22	38	0
13	3		runnable	  7	34	0	6	12	24	34	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	109	0	0	0
2	0		sleeping	  0	0	0	109	0	0	0	0
